File_Version	2					
20001		3	장학사는 처음이지	Gyeonggido office of Education	GOE	KOR
20002		3	소래산	Gyeonggido office of Education	GOE	KOR
20003		3	세안포	Gyeonggido office of Education	GOE	KOR
20004		3	휴먼지능	Gyeonggido office of Education	GOE	KOR
20005		3	SUJI	Gyeonggido office of Education	GOE	KOR
20006		3	KOI	Gyeonggido office of Education	GOE	KOR
20007		3	학이현이코딩스쿨	Gyeonggido office of Education	GOE	KOR
20008		3	부천AI	Gyeonggido office of Education	GOE	KOR
20009		3	초코딩딩	Gyeonggido office of Education	GOE	KOR
20010		3	배고파	Gyeonggido office of Education	GOE	KOR
20011		3	완행열차	Incheon metropolitan City office of Education	ICE	KOR
20012		3	마음따로코드따로	Gyeonggido office of Education	GOE	KOR
20013		3	또바기	Gyeonggido office of Education	GOE	KOR
20014		3	펭튜브	Gyeonggido office of Education	GOE	KOR
20015		3	씨언어가씨쁠	Gyeonggido office of Education	GOE	KOR
20016		3	printf코딩	Gyeonggido office of Education	GOE	KOR
20017		3	뉴파고	Gyeonggido office of Education	GOE	KOR
20018		3	엑스에듀	ChungcheongBuk-do office of Education	CBE	KOR
20019		3	효효효	Gyeonggido office of Education	GOE	KOR
20020		3	참가에 의의를	Gyeonggido office of Education	GOE	KOR
20021		3	MOLOHAZI	Gyeonggido office of Education	GOE	KOR
20022		3	친구들 모여라	Gyeonggido office of Education	GOE	KOR
20023		3	JANET	Gyeonggido office of Education	GOE	KOR
20024		3	헬로 자바	Gyeonggido office of Education	GOE	KOR
20025		3	C리둥절	Gyeonggido office of Education	GOE	KOR
20026		3	FC	Gyeonggido office of Education	GOE	KOR
20027		3	삽질부터차근차근	Gyeonggido office of Education	GOE	KOR
20028		3	CoCo도전	Gyeonggido office of Education	GOE	KOR
20029		3	FlyToPS	Gyeonggido office of Education	GOE	KOR
20030		3	alone	Jeollabukdo office of Education	GBE	KOR
20031		3	swift	Gyeonggido office of Education	GOE	KOR
20032		3	코딩하는지구인	Gyeonggido office of Education	GOE	KOR
20033		3	낭만 고양이	Gyeonggido office of Education	GOE	KOR
20034		3	무과금	Gyeonggido office of Education	GOE	KOR
20035		3	햇병아리	Gyeonggido office of Education	GOE	KOR
20036		3	CJ	Gyeonggido office of Education	GOE	KOR
20037		3	HelloCoding	Gyeonggido office of Education	GOE	KOR
20038		3	CodingLee	Gyeonggido office of Education	GOE	KOR
20039		3	밥은주나요?	Gyeonggido office of Education	GOE	KOR
20040		3	나혼자코딩	Gyeonggido office of Education	GOE	KOR
20041		3	FirstStep	Sejong city office of Education	SJE	KOR
20042		3	봉달이	Gyeonggido office of Education	GOE	KOR
20043		3	jkjstudy	Gyeonggido office of Education	GOE	KOR
20044		3	Cyd	Gyeonggido office of Education	GOE	KOR
20045		3	2020도전	Gyeonggido office of Education	GOE	KOR
